#  Parameters: 
#  beta0=-6.000000e+00 
#  sp=1.000000e+36 
#  sM=1.000000e+04 
#  psur=1.000000e+30 
#  rhocen=1.000000e+02 
#  mtb=1.660000e-27 
#  nt0=1.000000e+44 
#  Gamma=2.340000e+00 
#  kns=1.950000e-02 
#  Columns: 
#  mA/solar_mass, alpha0, alphaA_true, alphaA_check, betaA, kA.
1.568942135716902664e+00, -1.040904693597020795e-05, -4.237465531996402468e-02, 2.651863904774322691e+02, -3.701441964163329490e-01, 8.120553008404141337e+01
1.574729625988497528e+00, -1.041047022238551294e-05, -4.197816024527202539e-02, 2.156334806672337550e+02, -3.017551319455074599e-01, 6.890811522565169867e+01
1.580517116260091948e+00, -1.041189350880081794e-05, -4.158166517058001221e-02, 1.664435747111524506e+02, -2.333660674746812491e-01, 5.667197743481401062e+01
1.586304606531686812e+00, -1.041331679521612293e-05, -4.118517009588799904e-02, 1.176126983359743008e+02, -1.649770030038557600e-01, 4.449665953703629384e+01
1.592092096803281009e+00, -1.041474008163142793e-05, -4.078867502119598587e-02, 6.913693508658536757e+01, -9.658793853303027088e-02, 3.238170920587948842e+01
1.597879587074875651e+00, -1.041616336804673123e-05, -4.039217994650397270e-02, 2.101242525444831699e+01, -2.819887406220476789e-02, 2.032667895473733211e+01
1.603667077346469849e+00, -1.041758665446203623e-05, -3.999568487181197340e-02, -2.676463512025674163e+01, 4.019019040861865344e-02, 8.331124740258999850e+00
1.609454567618064491e+00, -1.041900994087734122e-05, -3.959918979711996023e-02, -7.419799529477137412e+01, 1.085792548794441564e-01, -3.605392110164359565e+00
1.615242057889659133e+00, -1.042043322729264453e-05, -3.920269472242794706e-02, -1.212913507452617239e+02, 1.769683193502703256e-01, -1.548330647879686239e+01
1.621029548161253775e+00, -1.042185651370795122e-05, -3.880619964773593389e-02, -1.680483441779543057e+02, 2.453573838210951485e-01, -2.730304859188958488e+01
1.626817038432848195e+00, -1.042327980012325452e-05, -3.840970457304392766e-02, -2.144725664483839580e+02, 3.137464482919213316e-01, -3.906504541214791004e+01
1.632604528704442615e+00, -1.042470308653855952e-05, -3.801320949835191448e-02, -2.605675574675406097e+02, 3.821355127627468207e-01, -5.076971835593555227e+01
1.638392018976037257e+00, -1.042612637295386451e-05, -3.761671442365990131e-02, -3.063368071302386966e+02, 4.505245772335723098e-01, -6.241748594782021797e+01
1.644179509247631676e+00, -1.042754965936916781e-05, -3.722021934896788814e-02, -3.517837561696051694e+02, 5.189136417043977989e-01, -7.400876204402636915e+01
1.649966999519226540e+00, -1.042897294578447281e-05, -3.682372427427587497e-02, -3.969117970390375376e+02, 5.873027061752232880e-01, -8.554395654305415064e+01
1.655754489790820738e+00, -1.043039623219977611e-05, -3.642722919958387567e-02, -4.417242747427120548e+02, 6.556917706460474449e-01, -9.702347556949916907e+01
1.661541980062415380e+00, -1.043181951861508111e-05, -3.603073412489186944e-02, -4.862244876631071406e+02, 7.240808351168722679e-01, -1.084477211146329978e+02
1.667329470334010022e+00, -1.043324280503038441e-05, -3.563423905019984933e-02, -5.304156883871505670e+02, 7.924698995876984231e-01, -1.198170915632022115e+02
1.673116960605604220e+00, -1.043466609144569110e-05, -3.523774397550784310e-02, -5.743010844691166312e+02, 8.608589640585242453e-01, -1.311319813586692931e+02
1.678904450877199084e+00, -1.043608937786099440e-05, -3.484124890081582993e-02, -6.178838392410441429e+02, 9.292480285293494013e-01, -1.423927808111726847e+02
1.684692098316313613e+00, -1.043759836565139515e-05, -3.448051296871001981e-02, -6.565558355955057550e+02, 9.905193376411043360e-01, -1.524008823006946898e+02
1.690479880112981004e+00, -1.043977933422014320e-05, -3.415059702497115490e-02, -6.453518827756251994e+02, 9.758159406715927187e-01, -1.495802871907862368e+02
1.696266921822585427e+00, -1.044213058231996725e-05, -3.365253485504113989e-02, -6.121551179630239403e+02, 9.276435168736459902e-01, -1.411490428079779349e+02
1.702053963532189851e+00, -1.044448183041979129e-05, -3.315447268511113182e-02, -5.791841343999046785e+02, 8.794710930756978184e-01, -1.327577239363609181e+02
1.707841005241794274e+00, -1.044683307851961533e-05, -3.265641051518112375e-02, -5.464366364945840360e+02, 8.312986692777503128e-01, -1.244060473612722433e+02
1.713628046835559582e+00, -1.044940394335898259e-05, -3.215841505580007559e-02, -5.139137009044711704e+02, 7.831129669352718814e-01, -1.160436697449938208e+02
1.719415088412071801e+00, -1.045200751807651122e-05, -3.166042953233706714e-02, -4.816102257559998634e+02, 7.349252868766366076e-01, -1.077131731580164171e+02
1.725202129988584021e+00, -1.045461109279404154e-05, -3.116244400887406216e-02, -4.495235078515786995e+02, 6.867376068180024440e-01, -9.942175458951579969e+01
1.730989171509193181e+00, -1.045731781786286946e-05, -3.066448965253904674e-02, -4.176529690894850546e+02, 6.385437230314173762e-01, -9.114514988981770216e+01
1.736776212930357666e+00, -1.046020803608426809e-05, -3.016659073910362907e-02, -3.859976872993738652e+02, 5.903388034937734341e-01, -8.286461294159407487e+01
1.742563254351522151e+00, -1.046309825430566672e-05, -2.966869182566820792e-02, -3.545526967591739549e+02, 5.421338839561291589e-01, -7.462264857202208646e+01
1.748351028842172639e+00, -1.046652611362338643e-05, -2.933764157883542167e-02, -3.230755172364451937e+02, 4.939207193644330474e-01, -6.632249927884261353e+01
1.754140197478996743e+00, -1.047089942169685602e-05, -2.932387001051347392e-02, -2.913492054091155410e+02, 4.456964799416781031e-01, -5.789599023038759640e+01
1.759929366115821070e+00, -1.047527272977032561e-05, -2.931009844219152616e-02, -2.598315772571265256e+02, 3.974722405189241581e-01, -4.950846115408150894e+01
1.765718534522079830e+00, -1.048005466711158963e-05, -2.929644926775625338e-02, -2.285260289267359326e+02, 3.492278063371480057e-01, -4.107727521113856994e+01
1.771507702685956698e+00, -1.048529428979188363e-05, -2.928293900745502359e-02, -1.974254763490947084e+02, 3.009820668194047588e-01, -3.267847562904557179e+01
1.777296838198211493e+00, -1.049099322806310354e-05, -2.926704985647549800e-02, -1.674355428190316957e+02, 2.532098387074038226e-01, -3.644614944345160268e+01
1.783085965537736683e+00, -1.049709369467793641e-05, -2.925066391916288783e-02, -1.378625686410753133e+02, 2.055538614309118939e-01, -4.316644687086937182e+01
1.788875092723062110e+00, -1.050347868560638578e-05, -2.923436395155940698e-02, -1.084810146028498821e+02, 1.578978841544223799e-01, -4.985524764079160320e+01
1.794664219799086968e+00, -1.051006001193376601e-05, -2.921812297398165836e-02, -7.928901417337385737e+01, 1.102419068779304651e-01, -5.651298692568749260e+01
1.800453346624726114e+00, -1.051709110116265434e-05, -2.920201713008475572e-02, -5.028478457206196595e+01, 6.258592960144165884e-02, -6.313918778539973431e+01
1.806242473269130233e+00, -1.052443920095885515e-05, -2.918600596570471856e-02, -2.146649854071351626e+01, 1.492995232494974747e-02, -6.973440212926537640e+01
1.812032175659960886e+00, -1.053250768652634340e-05, -2.930116425337932207e-02, -8.911134773078494220e+00, -6.641274072128805495e-03, -8.057131700077206915e+01
1.817822297775726570e+00, -1.054179860274171226e-05, -2.952233575289149245e-02, -1.002893766390999808e+01, -6.124827550671500809e-03, -9.525992742093421839e+01
1.823612406496271987e+00, -1.055137883287828145e-05, -2.974256609872470702e-02, -1.114238714714180034e+01, -5.602235917966102118e-03, -1.099619103090128220e+02
1.829402515137333651e+00, -1.056110975429945749e-05, -2.996284221838344322e-02, -1.224659062788883901e+01, -5.070533135821060459e-03, -1.246312854576987093e+02
1.835192623677802226e+00, -1.057102628806346284e-05, -3.018317442126025596e-02, -1.334105376222359141e+01, -4.527667149050942572e-03, -1.392771686118276193e+02
1.840982732130965971e+00, -1.058110232226198047e-05, -3.040355471835401446e-02, -1.442623359602634991e+01, -3.975228145543433129e-03, -1.538941294504248276e+02
1.846772840436837093e+00, -1.059144293633725023e-05, -3.062401450989364615e-02, -1.550057434002415668e+01, -3.406965999279345115e-03, -1.685075296626814350e+02
1.852562948548918786e+00, -1.060212251853838626e-05, -3.084457553887357678e-02, -1.656290805860510318e+01, -2.818552829213446815e-03, -1.831368551316750199e+02
1.858353021305549024e+00, -1.061332196228687008e-05, -3.106256840778376382e-02, -1.665625806693714495e+01, -2.741324597528722092e-03, -1.846903939242952788e+02
1.864143088736801568e+00, -1.062459631897396875e-05, -3.128017328705265387e-02, -1.660452338062635391e+01, -2.741324597528376882e-03, -1.842801346112723309e+02
1.869933156168054333e+00, -1.063587067566106742e-05, -3.149777816632155780e-02, -1.655310907784350860e+01, -2.741324597528376882e-03, -1.838716941272266752e+02
1.875723223599306655e+00, -1.064714503234816609e-05, -3.171538304559044785e-02, -1.650201219276421938e+01, -2.741324597528376882e-03, -1.834650600404382317e+02
1.881513291030559198e+00, -1.065841938903526475e-05, -3.193298792485933790e-02, -1.645122978840553074e+01, -2.741324597528376882e-03, -1.830602204377660200e+02
